Source,Restaurant Name,Author,Rating,Time,Review
Google,Lassiwala Dhaba,Ram Karthick,"Rated 1.0 out of 5,",3 years ago,"Very very poor service. Low quality food and low hygiene,money waste.Not upto the expectation..Utter waste."
Google,Lassiwala Dhaba,Krishna Murthi,"Rated 5.0 out of 5,",5 months ago,Best combos for home parties
Google,Lassiwala Dhaba,Senthamizhan Loganathan,"Rated 4.0 out of 5,",5 years ago,"Best Punjabi style restaurant around this area.Seating space is very less, good for take away."
Google,Lassiwala Dhaba,Saravana Kumar,"Rated 1.0 out of 5,",3 years ago,Phulka ia better than other hotel. But other time. I ordered Naan with panneer butter masala.
Google,Lassiwala Dhaba,Kumaran M,"Rated 3.0 out of 5,",7 months ago,Dining not open yet. Only takeaway.
Google,Lassiwala Dhaba,Margali Poove,"Rated 4.0 out of 5,",5 years ago,Excellent food. It's a very small place for dining though. Great for take-outs
Google,Lassiwala Dhaba,Pushpak Mistry,"Rated 5.0 out of 5,",4 years ago,"One of the best place for North Region foodI love all type of Partha, Dals and SabajiThank you very much for all your services"
Google,Lassiwala Dhaba,Aishwarya P T,"Rated 4.0 out of 5,",a year ago,Taste and quantity okay. No complaints.
Google,Lassiwala Dhaba,Saravanan G,"Rated 5.0 out of 5,",2 years ago,Good for North Indian dishes. Awesome Badam lassi
Google,Lassiwala Dhaba,LINKESH KANNA VELU,"Rated 5.0 out of 5,",3 years ago,Good North Indian style food.  Grill and Tandoori chicken are good here.
Google,Lassiwala Dhaba,dinesh g,"Rated 1.0 out of 5,",2 years ago,The taste was completely degraded. Also they have compromised on hygiene.
Google,Lassiwala Dhaba,Tanmaya Patel,"Rated 5.0 out of 5,",3 years ago,"Perfect place for good, authentic north Indian food."
Google,Lassiwala Dhaba,Arun Ebenezer,"Rated 5.0 out of 5,",5 years ago,"Tasty , healthy home cooked ,very affordable food and satisfyingly epic stuff"
Google,Lassiwala Dhaba,Barath_ R,"Rated 5.0 out of 5,",a year ago,Fantastic for the price. Loved it. Thanks a lot.
Google,Lassiwala Dhaba,Ranjeet Singh,"Rated 5.0 out of 5,",3 years ago,"I love their combos ,finally could find sometime closer to home taste ."
Google,Lassiwala Dhaba,kishor lio,"Rated 4.0 out of 5,",3 years ago,Good punjabi cuisine in pocket friendly price
Google,Lassiwala Dhaba,Elakya B,"Rated 5.0 out of 5,",2 years ago,Tasty Punjabi food and affordable price 👍
Google,Lassiwala Dhaba,ravi anand kulasekaran,"Rated 4.0 out of 5,",3 years ago,Could be so much better but their parathas are very good
Google,Lassiwala Dhaba,Aravind Raj V,"Rated 4.0 out of 5,",2 years ago,Good place to visit and have lassi
Google,Lassiwala Dhaba,Gayathri,"Rated 4.0 out of 5,",2 years ago,Lassi - deserve 5 starsBut not very happy with the combo. Needs improvement.
Google,Lassiwala Dhaba,Varun Ram,"Rated 4.0 out of 5,",6 years ago,Good place to have Punjabi food. A bit Expensive though
Google,Lassiwala Dhaba,Karthik Raj,"Rated 5.0 out of 5,",4 years ago,Reasonable price! And good North Indian taste
Google,Lassiwala Dhaba,nivi ttnivi613,"Rated 5.0 out of 5,",2 years ago,Lassi too good..North indian item at it's 👍💯
Google,Lassiwala Dhaba,Arun Kumar,"Rated 4.0 out of 5,",6 years ago,Tasty foods. Bit costly. Only Punjabi items
Google,Lassiwala Dhaba,Jejo Peterson,"Rated 5.0 out of 5,",3 years ago,Mouth watering tandoori dishes and best ever shawarma
Google,Lassiwala Dhaba,Jacob Timothy,"Rated 5.0 out of 5,",6 years ago,Authentic Punjabi cuisine with a unique Punjabi dining experience!
Google,Lassiwala Dhaba,A R (Mech Engineer),"Rated 4.0 out of 5,",5 years ago,Simple and good North indian dishes. Cheaper
Google,Lassiwala Dhaba,ausking samuel,"Rated 5.0 out of 5,",a year ago,For tasty food & reasonable price..
Google,Lassiwala Dhaba,Ajith Joel,"Rated 5.0 out of 5,",3 years ago,Good Punjabi Food and Dosa Available.
Google,Lassiwala Dhaba,j.siju j.siju,"Rated 5.0 out of 5,",8 months ago,Very good food and good service
Google,Lassiwala Dhaba,Avinash Agilan,"Rated 4.0 out of 5,",10 months ago,Good place and the taste is good.
Google,Lassiwala Dhaba,Tonifia Machado,"Rated 5.0 out of 5,",4 years ago,U get the best lassi and Punjabi food
Google,Lassiwala Dhaba,Bala Guru,"Rated 3.0 out of 5,",4 years ago,Good food but must wait for fresh food
Google,Lassiwala Dhaba,Ganesha's Mart,"Rated 4.0 out of 5,",a year ago,Good North Indian food and Lassi
Google,Lassiwala Dhaba,Balaji Shankar,"Rated 5.0 out of 5,",5 years ago,Best tandoori paratha in town.. Must try
Google,Lassiwala Dhaba,Sri Sri,"Rated 5.0 out of 5,",a year ago,Taste is good.Lassi is delicious
Google,Lassiwala Dhaba,sainath krishnamurthy,"Rated 5.0 out of 5,",2 years ago,Good place for North Indian food
Google,Lassiwala Dhaba,Kamalnath J,"Rated 1.0 out of 5,",2 years ago,"Editing my review, after changing location the quality is worst."
Google,Lassiwala Dhaba,Aravind Rajendran,"Rated 1.0 out of 5,",4 years ago,worst restaurant with no value for money
Google,Lassiwala Dhaba,John Dinesh,"Rated 4.0 out of 5,",3 years ago,Evwrything is good but time taking is ooof
